loss,config,halt_threshold,n_sup,epoch,train_ce,train_qloss,avg_steps_train,halt_logit_mean,halt_logit_std,halt_logit_max,pct_logit_gt0,pct_logit_gt1p5,train_pct_step1,train_pct_never,val_acc,val_steps_mean,val_pct_step1,val_pct_never
binary-em,halt-0,0.0,5,20,0.5662,0.3253,5.0,-2.263,0.365,-0.502,0.0,0.0,0.0,100.0,8.22,5.00,0.0,100.0
binary-em,halt-0,0.0,5,30,0.4710,0.5020,5.0,-1.425,0.410,0.333,0.1,0.0,0.1,99.8,23.06,5.00,0.1,99.9
binary-em,halt-0,0.0,5,40,0.1232,0.3643,1.6226012793176972,1.380,1.378,5.234,82.3,49.2,93.7,5.2,66.80,1.63,81.0,14.3
binary-em,halt-0,0.0,5,50,0.0176,0.0915,1.0007107320540156,4.455,1.093,9.381,100.0,99.8,100.0,0.0,96.86,1.00,100.0,0.0
binary-em,halt-0,0.0,5,60,0.0108,0.0472,1.0,5.254,1.140,10.267,100.0,100.0,100.0,0.0,99.12,1.00,100.0,0.0
binary-em,halt-0,0.0,5,70,0.0060,0.0286,1.0007107320540156,6.188,1.317,11.589,100.0,99.9,100.0,0.0,98.88,1.00,100.0,0.0
binary-em,halt-0,0.0,5,80,0.0098,0.0717,1.0,5.183,1.555,11.000,100.0,99.8,100.0,0.0,98.38,1.00,100.0,0.0
binary-em,halt-0,0.0,5,90,0.0142,0.0704,1.0099502487562189,4.834,1.636,10.342,100.0,97.4,100.0,0.0,99.46,1.00,100.0,0.0
binary-em,halt-1.5,1.5,5,0,1.6255,0.0200,5.0,-7.781,2.765,0.047,0.1,0.0,0.0,100.0,0.06,5.00,0.0,100.0
binary-em,halt-1.5,1.5,5,10,0.6819,0.2585,5.0,-2.711,0.569,-0.184,0.0,0.0,0.0,100.0,6.86,5.00,0.0,100.0
binary-em,halt-1.5,1.5,5,20,0.5514,0.3359,5.0,-2.202,0.345,-0.773,0.0,0.0,0.0,100.0,9.22,5.00,0.0,100.0
binary-em,halt-1.5,1.5,5,30,0.4984,0.4421,5.0,-1.696,0.346,-0.298,0.0,0.0,0.0,100.0,16.36,5.00,0.0,100.0
binary-em,halt-1.5,1.5,5,40,0.1610,0.4122,4.909026297085998,1.865,0.659,4.327,99.3,72.7,67.6,23.0,88.08,1.48,84.1,10.4
binary-em,halt-1.5,1.5,5,50,0.1873,0.3747,4.633262260127932,2.039,0.773,4.505,99.1,76.9,74.6,18.2,86.14,1.23,91.6,4.7
binary-em,halt-1.5,1.5,5,60,0.1206,0.3260,4.384506041222459,2.274,0.713,4.986,99.9,85.4,84.6,11.0,92.32,1.07,96.6,1.0
binary-em,halt-1.5,1.5,5,70,0.1728,0.3335,4.565031982942431,2.245,0.739,4.586,99.2,85.1,84.3,11.7,79.48,1.28,90.5,6.1
binary-em,halt-1.5,1.5,5,80,0.1327,0.3194,4.442786069651741,2.332,0.768,5.568,99.8,86.0,85.7,10.9,90.64,1.18,94.3,4.1
binary-em,halt-1.5,1.5,5,90,0.0833,0.2302,3.037668798862829,2.611,1.438,8.786,99.1,82.7,88.5,9.5,87.56,1.42,87.9,10.0
binary-em,halt-3.0,3.0,5,0,1.6359,0.0190,5.0,-7.495,2.398,0.008,0.0,0.0,0.0,100.0,0.10,5.00,0.0,100.0
binary-em,halt-3.0,3.0,5,10,0.6654,0.2644,5.0,-2.674,0.536,-0.668,0.0,0.0,0.0,100.0,7.12,5.00,0.0,100.0
binary-em,halt-3.0,3.0,5,20,0.5525,0.3331,5.0,-2.220,0.357,-0.578,0.0,0.0,0.0,100.0,8.36,5.00,0.0,100.0
binary-em,halt-3.0,3.0,5,30,0.5253,0.3705,5.0,-2.025,0.321,-0.401,0.0,0.0,0.0,100.0,9.36,5.00,0.0,100.0
binary-em,halt-3.0,3.0,5,40,0.1183,0.3974,5.0,1.934,0.757,4.437,98.4,75.0,3.6,91.8,89.68,4.71,5.1,91.7
binary-em,halt-3.0,3.0,5,50,0.0859,0.2695,5.0,2.775,0.959,5.753,99.3,89.9,36.4,50.1,94.10,2.81,43.9,41.0
binary-em,halt-3.0,3.0,5,60,0.0580,0.2031,4.994314143567875,3.182,0.885,6.170,99.8,96.0,53.8,33.9,93.80,1.87,71.6,19.1
binary-em,halt-3.0,3.0,5,70,0.0708,0.2000,4.979388770433546,3.224,0.916,6.205,99.8,95.4,56.6,31.6,92.50,1.81,70.3,16.7
binary-em,halt-3.0,3.0,5,80,0.0762,0.1886,4.982942430703624,3.343,1.000,6.578,99.7,95.2,60.1,28.7,87.94,2.29,57.4,28.2
binary-em,halt-3.0,3.0,5,90,0.0652,0.1687,4.9502487562189055,3.526,0.897,6.942,99.9,98.1,67.9,21.8,81.12,4.89,1.1,96.7
binary-em,nsup-1,0.0,1,0,1.6313,0.0182,1.0,-7.587,2.406,0.019,0.0,0.0,100.0,100.0,0.06,1.00,100.0,100.0
binary-em,nsup-1,0.0,1,10,0.8161,0.1780,1.0,-3.362,0.713,-0.911,0.0,0.0,100.0,100.0,5.94,1.00,100.0,100.0
