loss,config,halt_threshold,n_sup,epoch,sup_step,val_halt_logit_mean,val_acc
binary-em,halt-1.5,1.5,5,40,3,2.143,88.08
binary-em,halt-1.5,1.5,5,40,4,2.135,88.08
binary-em,halt-1.5,1.5,5,40,5,2.139,88.08
binary-em,halt-1.5,1.5,5,50,1,2.299,86.14
binary-em,halt-1.5,1.5,5,50,2,2.420,86.14
binary-em,halt-1.5,1.5,5,50,3,2.412,86.14
binary-em,halt-1.5,1.5,5,50,4,2.409,86.14
binary-em,halt-1.5,1.5,5,50,5,2.413,86.14
binary-em,halt-1.5,1.5,5,60,1,2.587,92.32
binary-em,halt-1.5,1.5,5,60,2,2.714,92.32
binary-em,halt-1.5,1.5,5,70,1,2.387,79.48
binary-em,halt-1.5,1.5,5,70,2,2.499,79.48
binary-em,halt-1.5,1.5,5,70,3,2.448,79.48
binary-em,halt-1.5,1.5,5,70,4,2.458,79.48
binary-em,halt-1.5,1.5,5,70,5,2.466,79.48
binary-em,halt-1.5,1.5,5,80,1,2.465,90.64
binary-em,halt-1.5,1.5,5,80,2,2.580,90.64
binary-em,halt-1.5,1.5,5,80,3,2.550,90.64
binary-em,halt-1.5,1.5,5,80,4,2.546,90.64
binary-em,halt-1.5,1.5,5,80,5,2.542,90.64
binary-em,halt-1.5,1.5,5,90,1,2.128,87.56
binary-em,halt-1.5,1.5,5,90,2,2.227,87.56
binary-em,halt-1.5,1.5,5,90,3,2.205,87.56
binary-em,halt-1.5,1.5,5,90,4,2.202,87.56
binary-em,halt-1.5,1.5,5,90,5,2.206,87.56
binary-em,halt-3.0,3.0,5,0,1,-7.797,0.10
binary-em,halt-3.0,3.0,5,0,2,-7.443,0.10
binary-em,halt-3.0,3.0,5,0,3,-7.565,0.10
binary-em,halt-3.0,3.0,5,0,4,-7.518,0.10
binary-em,halt-3.0,3.0,5,0,5,-7.530,0.10
binary-em,halt-3.0,3.0,5,10,1,-2.792,7.12
binary-em,halt-3.0,3.0,5,10,2,-2.645,7.12
binary-em,halt-3.0,3.0,5,10,3,-2.644,7.12
binary-em,halt-3.0,3.0,5,10,4,-2.656,7.12
binary-em,halt-3.0,3.0,5,10,5,-2.659,7.12
binary-em,halt-3.0,3.0,5,20,1,-2.340,8.36
binary-em,halt-3.0,3.0,5,20,2,-2.362,8.36
binary-em,halt-3.0,3.0,5,20,3,-2.354,8.36
binary-em,halt-3.0,3.0,5,20,4,-2.354,8.36
binary-em,halt-3.0,3.0,5,20,5,-2.352,8.36
binary-em,halt-3.0,3.0,5,30,1,-1.982,9.36
binary-em,halt-3.0,3.0,5,30,2,-1.983,9.36
binary-em,halt-3.0,3.0,5,30,3,-1.975,9.36
binary-em,halt-3.0,3.0,5,30,4,-1.975,9.36
binary-em,halt-3.0,3.0,5,30,5,-1.975,9.36
binary-em,halt-3.0,3.0,5,40,1,2.026,89.68
binary-em,halt-3.0,3.0,5,40,2,2.172,89.68
binary-em,halt-3.0,3.0,5,40,3,2.171,89.68
binary-em,halt-3.0,3.0,5,40,4,2.156,89.68
binary-em,halt-3.0,3.0,5,40,5,2.152,89.68
binary-em,halt-3.0,3.0,5,50,1,2.949,94.10
binary-em,halt-3.0,3.0,5,50,2,3.158,94.10
binary-em,halt-3.0,3.0,5,50,3,3.162,94.10
binary-em,halt-3.0,3.0,5,50,4,3.154,94.10
binary-em,halt-3.0,3.0,5,50,5,3.146,94.10
binary-em,halt-3.0,3.0,5,60,1,3.333,93.80
binary-em,halt-3.0,3.0,5,60,2,3.441,93.80
binary-em,halt-3.0,3.0,5,60,3,3.415,93.80
binary-em,halt-3.0,3.0,5,60,4,3.421,93.80
binary-em,halt-3.0,3.0,5,60,5,3.416,93.80
binary-em,halt-3.0,3.0,5,70,1,3.220,92.50
binary-em,halt-3.0,3.0,5,70,2,3.471,92.50
binary-em,halt-3.0,3.0,5,70,3,3.433,92.50
binary-em,halt-3.0,3.0,5,70,4,3.431,92.50
binary-em,halt-3.0,3.0,5,70,5,3.434,92.50
binary-em,halt-3.0,3.0,5,80,1,3.174,87.94
binary-em,halt-3.0,3.0,5,80,2,3.346,87.94
binary-em,halt-3.0,3.0,5,80,3,3.329,87.94
binary-em,halt-3.0,3.0,5,80,4,3.325,87.94
binary-em,halt-3.0,3.0,5,80,5,3.328,87.94
binary-em,halt-3.0,3.0,5,90,1,1.204,81.12
binary-em,halt-3.0,3.0,5,90,2,1.395,81.12
binary-em,halt-3.0,3.0,5,90,3,1.400,81.12
binary-em,halt-3.0,3.0,5,90,4,1.374,81.12
binary-em,halt-3.0,3.0,5,90,5,1.378,81.12
binary-em,nsup-1,0.0,1,0,1,-7.235,0.06
binary-em,nsup-1,0.0,1,10,1,-2.586,5.94
binary-em,nsup-1,0.0,1,20,1,-2.054,8.90
binary-em,nsup-1,0.0,1,30,1,0.917,72.50
binary-em,nsup-1,0.0,1,40,1,3.976,95.46
binary-em,nsup-1,0.0,1,50,1,3.367,95.22
binary-em,nsup-1,0.0,1,60,1,2.056,87.20
binary-em,nsup-1,0.0,1,70,1,4.531,98.24
