loss,config,halt_threshold,n_sup,split,epoch,step,count,val_acc,note
softmean,halt-1.5,1.5,5,train,40,5,2142,53.28,includes never-halted
softmean,halt-1.5,1.5,5,val,40,1,4709,53.28,
softmean,halt-1.5,1.5,5,val,40,2,71,53.28,
softmean,halt-1.5,1.5,5,val,40,3,5,53.28,
softmean,halt-1.5,1.5,5,val,40,4,1,53.28,
softmean,halt-1.5,1.5,5,val,40,5,214,53.28,includes never-halted
softmean,halt-1.5,1.5,5,train,50,1,44951,98.14,
softmean,halt-1.5,1.5,5,train,50,2,13,98.14,
softmean,halt-1.5,1.5,5,train,50,3,0,98.14,
softmean,halt-1.5,1.5,5,train,50,4,1,98.14,
softmean,halt-1.5,1.5,5,train,50,5,35,98.14,includes never-halted
softmean,halt-1.5,1.5,5,val,50,1,5000,98.14,
softmean,halt-1.5,1.5,5,val,50,2,0,98.14,
softmean,halt-1.5,1.5,5,val,50,3,0,98.14,
softmean,halt-1.5,1.5,5,val,50,4,0,98.14,
softmean,halt-1.5,1.5,5,val,50,5,0,98.14,includes never-halted
softmean,halt-1.5,1.5,5,train,60,1,45000,98.72,
softmean,halt-1.5,1.5,5,train,60,2,0,98.72,
softmean,halt-1.5,1.5,5,train,60,3,0,98.72,
softmean,halt-1.5,1.5,5,train,60,4,0,98.72,
softmean,halt-1.5,1.5,5,train,60,5,0,98.72,includes never-halted
softmean,halt-1.5,1.5,5,val,60,1,5000,98.72,
softmean,halt-1.5,1.5,5,val,60,2,0,98.72,
softmean,halt-1.5,1.5,5,val,60,3,0,98.72,
softmean,halt-1.5,1.5,5,val,60,4,0,98.72,
softmean,halt-1.5,1.5,5,val,60,5,0,98.72,includes never-halted
softmean,halt-1.5,1.5,5,train,70,1,42851,96.82,
softmean,halt-1.5,1.5,5,train,70,2,245,96.82,
softmean,halt-1.5,1.5,5,train,70,3,25,96.82,
softmean,halt-1.5,1.5,5,train,70,4,2,96.82,
softmean,halt-1.5,1.5,5,train,70,5,1877,96.82,includes never-halted
softmean,halt-1.5,1.5,5,val,70,1,5000,96.82,
softmean,halt-1.5,1.5,5,val,70,2,0,96.82,
softmean,halt-1.5,1.5,5,val,70,3,0,96.82,
softmean,halt-1.5,1.5,5,val,70,4,0,96.82,
softmean,halt-1.5,1.5,5,val,70,5,0,96.82,includes never-halted
softmean,halt-1.5,1.5,5,train,80,1,44431,42.82,
softmean,halt-1.5,1.5,5,train,80,2,50,42.82,
softmean,halt-1.5,1.5,5,train,80,3,6,42.82,
softmean,halt-1.5,1.5,5,train,80,4,3,42.82,
softmean,halt-1.5,1.5,5,train,80,5,510,42.82,includes never-halted
softmean,halt-1.5,1.5,5,val,80,1,2193,42.82,
softmean,halt-1.5,1.5,5,val,80,2,134,42.82,
softmean,halt-1.5,1.5,5,val,80,3,10,42.82,
softmean,halt-1.5,1.5,5,val,80,4,1,42.82,
softmean,halt-1.5,1.5,5,val,80,5,2662,42.82,includes never-halted
softmean,halt-1.5,1.5,5,train,90,1,45000,98.12,
softmean,halt-1.5,1.5,5,train,90,2,0,98.12,
softmean,halt-1.5,1.5,5,train,90,3,0,98.12,
softmean,halt-1.5,1.5,5,train,90,4,0,98.12,
softmean,halt-1.5,1.5,5,train,90,5,0,98.12,includes never-halted
softmean,halt-1.5,1.5,5,val,90,1,5000,98.12,
softmean,halt-1.5,1.5,5,val,90,2,0,98.12,
softmean,halt-1.5,1.5,5,val,90,3,0,98.12,
softmean,halt-1.5,1.5,5,val,90,4,0,98.12,
softmean,halt-1.5,1.5,5,val,90,5,0,98.12,includes never-halted
softmean,nsup-1,0.0,1,train,0,1,45000,0.10,includes never-halted
softmean,nsup-1,0.0,1,val,0,1,5000,0.10,includes never-halted
softmean,nsup-1,0.0,1,train,10,1,45000,7.92,includes never-halted
softmean,nsup-1,0.0,1,val,10,1,5000,7.92,includes never-halted
softmean,nsup-1,0.0,1,train,20,1,45000,8.60,includes never-halted
softmean,nsup-1,0.0,1,val,20,1,5000,8.60,includes never-halted
softmean,nsup-1,0.0,1,train,30,1,45000,86.60,includes never-halted
softmean,nsup-1,0.0,1,val,30,1,5000,86.60,includes never-halted
softmean,nsup-1,0.0,1,train,40,1,45000,94.26,includes never-halted
softmean,nsup-1,0.0,1,val,40,1,5000,94.26,includes never-halted
softmean,nsup-1,0.0,1,train,50,1,45000,94.06,includes never-halted
softmean,nsup-1,0.0,1,val,50,1,5000,94.06,includes never-halted
softmean,nsup-1,0.0,1,train,60,1,45000,97.56,includes never-halted
softmean,nsup-1,0.0,1,val,60,1,5000,97.56,includes never-halted
softmean,nsup-1,0.0,1,train,70,1,45000,98.74,includes never-halted
softmean,nsup-1,0.0,1,val,70,1,5000,98.74,includes never-halted
softmean,nsup-1,0.0,1,train,80,1,45000,76.86,includes never-halted
softmean,nsup-1,0.0,1,val,80,1,5000,76.86,includes never-halted
softmean,nsup-1,0.0,1,train,90,1,45000,98.90,includes never-halted
softmean,nsup-1,0.0,1,val,90,1,5000,98.90,includes never-halted
softmean,halt-3.0,3.0,5,train,0,1,0,0.08,
softmean,halt-3.0,3.0,5,train,0,2,0,0.08,
softmean,halt-3.0,3.0,5,train,0,3,0,0.08,
softmean,halt-3.0,3.0,5,train,0,4,0,0.08,
softmean,halt-3.0,3.0,5,train,0,5,45000,0.08,includes never-halted
softmean,halt-3.0,3.0,5,val,0,1,0,0.08,
softmean,halt-3.0,3.0,5,val,0,2,0,0.08,
softmean,halt-3.0,3.0,5,val,0,3,0,0.08,
softmean,halt-3.0,3.0,5,val,0,4,0,0.08,
softmean,halt-3.0,3.0,5,val,0,5,5000,0.08,includes never-halted
softmean,halt-3.0,3.0,5,train,10,1,0,6.62,
softmean,halt-3.0,3.0,5,train,10,2,0,6.62,
softmean,halt-3.0,3.0,5,train,10,3,0,6.62,
softmean,halt-3.0,3.0,5,train,10,4,0,6.62,
softmean,halt-3.0,3.0,5,train,10,5,45000,6.62,includes never-halted
softmean,halt-3.0,3.0,5,val,10,1,0,6.62,
softmean,halt-3.0,3.0,5,val,10,2,0,6.62,
softmean,halt-3.0,3.0,5,val,10,3,0,6.62,
softmean,halt-3.0,3.0,5,val,10,4,0,6.62,
